KjøpSelg,Navn,Utv. i dag,I dag %,Siste,I dag +/-,Valuta,I dag,Omsetning,Børsverdi,Antall eiere,
KjøpSelg,EQUINOR,,"+1,62%","272,45","+4,35",NOK,"+1,62%272,45NOK",175MNOK,744 336MNOK,47 861,
KjøpSelg,AKER SOLUTIONS,,"+2,77%","33,40","+0,90",NOK,"+2,77%33,40NOK",101MNOK,16 734MNOK,12 830,
KjøpSelg,AKER BP,,"+2,51%","228,3","+5,6",NOK,"+2,51%228,3NOK",91MNOK,144 480MNOK,24 762,
KjøpSelg,KONGSBERG GRUPPEN,,"−0,30%",1 327,−4,NOK,"−0,30%1 327NOK",84MNOK,232 569MNOK,32 540,
KjøpSelg,YARA INTERNATIONAL,,"+2,25%","317,9","+7,0",NOK,"+2,25%317,9NOK",83MNOK,81 359MNOK,22 195,
KjøpSelg,DNB BANK ASA,,"+0,91%","231,9","+2,1",NOK,"+0,91%231,9NOK",78MNOK,347 013MNOK,19 618,
KjøpSelg,FRONTLINE PLC,,"+0,43%","176,45","+0,75",NOK,"+0,43%176,45NOK",66MNOK,38 678MNOK,15 292,
KjøpSelg,NORSK HYDRO,,"+1,55%","69,26","+1,06",NOK,"+1,55%69,26NOK",49MNOK,138 903MNOK,19 710,
KjøpSelg,MOWI,,"+0,70%","201,5","+1,4",NOK,"+0,70%201,5NOK",46MNOK,104 043MNOK,18 301,
KjøpSelg,BW LPG,,"−2,89%","131,1","−3,9",NOK,"−2,89%131,1NOK",44MNOK,19 190MNOK,6 381,
KjøpSelg,HOEGH AUTOLINERS ASA,,"+2,85%","129,7","+3,6",NOK,"+2,85%129,7NOK",40MNOK,24 609MNOK,10 952,
KjøpSelg,AVANCE GAS HOLDING,,"−5,94%","107,6","−6,8",NOK,"−5,94%107,6NOK",39MNOK,8 486MNOK,3 874,
KjøpSelg,VÅR ENERGI ASA,,"+1,61%","36,68","+0,58",NOK,"+1,61%36,68NOK",37MNOK,91 418MNOK,25 258,
KjøpSelg,HAFNIA LIMITED,,"+2,52%","63,15","+1,55",NOK,"+2,52%63,15NOK",37MNOK,32 394MNOK,6 244,
KjøpSelg,SALMAR,,"+0,60%","585,0","+3,5",NOK,"+0,60%585,0NOK",34MNOK,77 111MNOK,11 079,
KjøpSelg,SUBSEA 7,,"+2,77%","177,9","+4,8",NOK,"+2,77%177,9NOK",33MNOK,53 669MNOK,4 939,
KjøpSelg,NORDIC SEMICONDUCTOR,,"+1,88%","99,80","+1,84",NOK,"+1,88%99,80NOK",30MNOK,19 413MNOK,10 989,
KjøpSelg,MPC CONTAINER SHIPS,,"+2,07%","22,20","+0,45",NOK,"+2,07%22,20NOK",26MNOK,9 775MNOK,30 567,
KjøpSelg,DOF GROUP ASA,,"−1,19%","83,15","−1,00",NOK,"−1,19%83,15NOK",25MNOK,20 872MNOK,5 282,
KjøpSelg,NORWEGIAN AIR SHUTTLE,,"+2,95%","10,975","+0,315",NOK,"+2,95%10,975NOK",23MNOK,10 506MNOK,79 208,
KjøpSelg,GOLDEN OCEAN GROUP,,"−1,00%","109,05","−1,10",NOK,"−1,00%109,05NOK",21MNOK,21 873MNOK,4 627,
KjøpSelg,TELENOR,,"0,00%","128,4","0,0",NOK,"0,00%128,4NOK",21MNOK,176 244MNOK,18 809,
KjøpSelg,SCHIBSTED SER. A,,"+2,19%","392,2","+8,4",NOK,"+2,19%392,2NOK",18MNOK,88 043MNOK,2 492,
KjøpSelg,THOR MEDICAL ASA,,"+10,80%","3,385","+0,330",NOK,"+10,80%3,385NOK",18MNOK,802MNOK,8 703,
KjøpSelg,SCHIBSTED SER. B,,"+2,87%","366,0","+10,2",NOK,"+2,87%366,0NOK",15MNOK,88 043MNOK,1 966,
KjøpSelg,NEL,,"−2,20%","2,887","−0,065",NOK,"−2,20%2,887NOK",15MNOK,4 797MNOK,22 769,
KjøpSelg,TGS ASA,,"+1,48%","109,5","+1,6",NOK,"+1,48%109,5NOK",13MNOK,21 374MNOK,8 606,
KjøpSelg,ORKLA,,"+0,99%","102,4","+1,0",NOK,"+0,99%102,4NOK",12MNOK,102 647MNOK,17 649,
KjøpSelg,2020 BULKERS,,"+1,41%","122,5","+1,7",NOK,"+1,41%122,5NOK",12MNOK,2 797MNOK,6 140,
KjøpSelg,WALLENIUS WILHELMSEN,,"+1,53%","106,4","+1,6",NOK,"+1,53%106,4NOK",11MNOK,45 061MNOK,6 215,
KjøpSelg,STOREBRAND,,"0,00%","122,6","0,0",NOK,"0,00%122,6NOK",11MNOK,54 966MNOK,13 142,
KjøpSelg,STOLT-NIELSEN,,"+0,18%","271,0","+0,5",NOK,"+0,18%271,0NOK",11MNOK,15 743MNOK,1 617,
KjøpSelg,SATS,,"+1,01%","25,00","+0,25",NOK,"+1,01%25,00NOK",11MNOK,5 097MNOK,3 697,
KjøpSelg,TOMRA SYSTEMS,,"−2,40%","154,5","−3,8",NOK,"−2,40%154,5NOK",11MNOK,45 916MNOK,11 055,
KjøpSelg,AKER,,"+1,74%",585,+10,NOK,"+1,74%585NOK",10MNOK,43 478MNOK,5 060,
KjøpSelg,SPAREBANK 1 SØR-NORGE ASA,,"+1,26%","145,0","+1,8",NOK,"+1,26%145,0NOK","9,2MNOK",38 478MNOK,6 474,
KjøpSelg,OKEANIS ECO TANKERS,,"−2,88%","236,0","−7,0",NOK,"−2,88%236,0NOK","8,8MNOK",7 861MNOK,2 428,
KjøpSelg,CRAYON GROUP HOLDING,,"+0,71%","126,9","+0,9",NOK,"+0,71%126,9NOK","8,2MNOK",11 286MNOK,3 662,
KjøpSelg,SCATEC ASA,,"+1,19%","80,75","+0,95",NOK,"+1,19%80,75NOK","8,1MNOK",12 761MNOK,10 542,
KjøpSelg,HEXAGON COMPOSITES,,"−1,74%","42,45","−0,75",NOK,"−1,74%42,45NOK","8,0MNOK",9 002MNOK,4 050,
KjøpSelg,GRIEG SEAFOOD,,"−1,95%","60,45","−1,20",NOK,"−1,95%60,45NOK","7,7MNOK",6 800MNOK,5 227,
KjøpSelg,AKER CARBON CAPTURE ASA,,"−0,16%","6,175","−0,010",NOK,"−0,16%6,175NOK","7,5MNOK",3 743MNOK,11 397,
KjøpSelg,DNO,,"+0,49%","10,32","+0,05",NOK,"+0,49%10,32NOK","7,5MNOK",10 082MNOK,6 279,
KjøpSelg,AUTOSTORE HOLDINGS LTD.,,"−1,59%","12,40","−0,20",NOK,"−1,59%12,40NOK","7,4MNOK",42 583MNOK,6 190,
KjøpSelg,NRC GROUP,,"+8,59%","5,56","+0,44",NOK,"+8,59%5,56NOK","7,2MNOK",969MNOK,1 995,
KjøpSelg,ODFJELL DRILLING,,"+2,20%","51,2","+1,1",NOK,"+2,20%51,2NOK","6,8MNOK",12 158MNOK,3 076,
KjøpSelg,GJENSIDIGE FORSIKRING,,"+0,80%","200,8","+1,6",NOK,"+0,80%200,8NOK","6,6MNOK",99 950MNOK,9 985,
KjøpSelg,PARATUS ENERGY SERVICES LTD.,,"+0,04%","45,56","+0,02",NOK,"+0,04%45,56NOK","6,5MNOK",7 779MNOK,1 758,
KjøpSelg,HIMALAYA SHIPPING LTD,,"+0,79%","63,7","+0,5",NOK,"+0,79%63,7NOK","6,0MNOK",2 753MNOK,1 084,
KjøpSelg,NORBIT,,"+0,72%","97,7","+0,7",NOK,"+0,72%97,7NOK","5,9MNOK",6 299MNOK,2 894,
KjøpSelg,PANORO ENERGY,,"+4,73%","27,65","+1,25",NOK,"+4,73%27,65NOK","5,8MNOK",3 234MNOK,2 832,
KjøpSelg,AF GRUPPEN,,"0,00%","143,8","0,0",NOK,"0,00%143,8NOK","5,7MNOK",15 650MNOK,4 696,
KjøpSelg,SPAREBANK 1 NORD-NORGE,,"+0,76%","119,00","+0,90",NOK,"+0,76%119,00NOK","5,2MNOK",-,3 234,
KjøpSelg,ENTRA,,"−0,33%","119,8","−0,4",NOK,"−0,33%119,8NOK","5,1MNOK",21 674MNOK,2 030,
KjøpSelg,BORR DRILLING,,"+0,62%","41,90","+0,26",NOK,"+0,62%41,90NOK","5,1MNOK",10 996MNOK,2 690,
KjøpSelg,PROTECTOR FORSIKRING,,"+1,54%","297,5","+4,5",NOK,"+1,54%297,5NOK","5,0MNOK",24 544MNOK,4 279,
KjøpSelg,LINK MOBILITY GROUP HOLDING,,"+1,45%","24,45","+0,35",NOK,"+1,45%24,45NOK","5,0MNOK",7 259MNOK,2 725,
KjøpSelg,NORSE ATLANTIC ASA,,"+6,64%","4,015","+0,250",NOK,"+6,64%4,015NOK","4,9MNOK",476MNOK,4 174,
KjøpSelg,EUROPRIS,,"−0,51%","68,05","−0,35",NOK,"−0,51%68,05NOK","4,8MNOK",11 404MNOK,7 405,
KjøpSelg,REC SILICON,,"−3,10%","4,192","−0,134",NOK,"−3,10%4,192NOK","4,8MNOK",1 809MNOK,15 982,
